age,education,default,balance,housing,loan,day,campaign,pdays,previous,y,month_num,job_admin.,job_blue-collar,job_entrepreneur,job_housemaid,job_management,job_retired,job_self-employed,job_services,job_student,job_technician,job_unemployed,marital_divorced,marital_married,contact_cellular,contact_telephone,poutcome_failure,poutcome_other,poutcome_success
58,3,0,2143,1,0,5,1,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
44,2,0,29,1,0,5,1,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
33,2,0,2,1,1,5,1,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
47,0,0,1506,1,0,5,1,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
33,0,0,1,0,0,5,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,3,0,231,1,0,5,1,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
28,3,0,447,1,1,5,1,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
42,3,1,2,1,0,5,1,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
58,1,0,121,1,0,5,1,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
43,2,0,593,1,0,5,1,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
41,2,0,270,1,0,5,1,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
29,2,0,390,1,0,5,1,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,2,0,6,1,0,5,1,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
58,0,0,71,1,0,5,1,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
57,2,0,162,1,0,5,1,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
51,1,0,229,1,0,5,1,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
45,0,0,13,1,0,5,1,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,1,0,52,1,0,5,1,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
60,1,0,60,1,0,5,1,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
33,2,0,0,1,0,5,1,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
28,2,0,723,1,1,5,1,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
56,3,0,779,1,0,5,1,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
32,1,0,23,1,1,5,1,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,2,0,50,1,0,5,1,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
40,1,0,0,1,1,5,1,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
44,2,0,-372,1,0,5,1,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
39,3,0,255,1,0,5,1,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
52,2,0,113,1,1,5,1,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
46,2,0,-246,1,0,5,2,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
36,2,0,265,1,1,5,1,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
57,2,0,839,0,1,5,1,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
49,3,0,378,1,0,5,1,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
60,2,0,39,1,1,5,1,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
59,2,0,0,1,0,5,1,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
57,2,0,63,1,0,5,1,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
25,2,0,-7,1,0,5,1,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
36,2,0,506,1,0,5,1,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
37,2,0,0,1,0,5,1,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,2,0,2586,1,0,5,1,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
50,2,0,49,1,0,5,2,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
60,0,0,104,1,0,5,1,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
58,0,0,96,1,0,5,1,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
36,1,0,-171,1,0,5,1,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,3,0,-364,1,0,5,1,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
44,2,0,0,1,0,5,2,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
55,2,0,0,0,0,5,1,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
29,3,0,0,1,0,5,1,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
54,2,0,1291,1,0,5,1,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
48,3,0,-244,1,0,5,1,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
32,3,0,0,1,0,5,1,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
24,2,0,-103,1,1,5,1,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
38,3,0,243,0,1,5,1,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,3,0,424,1,0,5,1,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
47,0,0,306,1,0,5,1,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
40,0,0,24,1,0,5,1,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,3,0,0,1,0,5,1,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
57,1,0,249,1,0,5,1,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
33,2,0,790,1,0,5,1,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
49,0,0,154,1,0,5,1,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
60,3,0,100,0,0,5,1,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
59,3,0,59,1,0,5,1,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
55,2,0,1205,1,0,5,2,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
31,2,0,25,1,1,5,1,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
54,2,0,282,1,1,5,1,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
55,1,0,23,1,0,5,1,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
43,2,0,1937,1,0,5,1,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
53,2,0,384,1,0,5,1,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
44,2,0,582,0,1,5,1,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
55,2,0,91,0,0,5,1,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
49,2,0,0,1,1,5,1,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
55,2,1,1,1,0,5,1,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
45,2,0,206,1,0,5,1,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,2,0,164,0,0,5,1,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
42,2,0,690,1,0,5,1,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
46,3,0,137,1,1,5,1,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
51,1,0,173,1,0,5,2,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
46,2,0,16,1,1,5,2,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
57,2,0,486,1,0,5,2,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
42,2,0,50,0,0,5,1,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
30,2,0,152,1,1,5,2,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
60,2,0,290,1,0,5,1,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
60,0,0,54,1,0,5,1,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
57,2,0,-37,0,0,5,1,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
36,3,0,101,1,1,5,1,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
55,2,0,383,0,0,5,1,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
60,3,0,81,1,0,5,1,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
39,2,0,0,1,0,5,1,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
46,3,0,229,1,0,5,1,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
44,2,0,-674,1,0,5,1,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
53,1,0,90,0,0,5,1,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
52,1,0,128,1,0,5,1,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
59,1,0,179,1,0,5,3,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
27,3,0,0,1,0,5,1,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
44,2,0,54,1,0,5,1,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
47,3,0,151,1,0,5,1,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
34,2,0,61,0,1,5,1,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
59,2,0,30,1,0,5,1,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
29,2,0,31,1,0,5,1,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
46,2,0,79,0,0,5,1,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
